Borehole_ID,Lithology_Description,Absolute_Depth_m,Sample_ID_Reference,Spacing_Ln_cm,Ratio_r
LE2010-06,Jasperite / Ferruginous Chert,117.6,Assay: 1751796-1751775,3.59,1.6468
LE2010-06,Jasperite / Ferruginous Chert,117.69,Assay: 1751796-1751775,2.18,1.09
LE2010-06,Jasperite / Ferruginous Chert,117.78,Assay: 1751796-1751775,2.0,1.0
LE2010-06,Jasperite / Ferruginous Chert,117.86,Assay: 1751796-1751775,2.0,0.277
LE2010-06,Jasperite / Ferruginous Chert,117.95,Assay: 1751796-1751775,7.22,1.6636
LE2010-06,Jasperite / Ferruginous Chert,118.04,Assay: 1751796-1751775,4.34,2.6957
LE2010-06,Jasperite / Ferruginous Chert,118.13,Assay: 1751796-1751775,1.61,0.434
LE2010-06,Jasperite / Ferruginous Chert,118.22,Assay: 1751796-1751775,3.71,1.2492
LE2010-06,Jasperite / Ferruginous Chert,118.3,Assay: 1751796-1751775,2.97,11.4231
LE2010-06,Jasperite / Ferruginous Chert,118.39,Assay: 1751796-1751775,0.26,0.2826
LE2010-06,Jasperite / Ferruginous Chert,118.48,Assay: 1751796-1751775,0.92,0.293
LE2010-06,Jasperite / Ferruginous Chert,118.57,Assay: 1751796-1751775,3.14,0.4645
LE2010-06,Jasperite / Ferruginous Chert,118.66,Assay: 1751796-1751775,6.76,3.3465
LE2010-06,Jasperite / Ferruginous Chert,118.75,Assay: 1751796-1751775,2.02,1.3467
LE2010-06,Jasperite / Ferruginous Chert,118.83,Assay: 1751796-1751775,1.5,0.5597
LE2010-06,Jasperite / Ferruginous Chert,118.92,Assay: 1751796-1751775,2.68,1.8873
LE2010-06,Jasperite / Ferruginous Chert,119.01,Assay: 1751796-1751775,1.42,0.7474
LE2010-06,Jasperite / Ferruginous Chert,119.1,Assay: 1751796-1751775,1.9,0.7851
LE2010-06,Jasperite / Ferruginous Chert,119.19,Assay: 1751796-1751775,2.42,2.7816
LE2010-06,Jasperite / Ferruginous Chert,119.27,Assay: 1751796-1751775,0.87,0.1929
LE2010-06,Jasperite / Ferruginous Chert,119.36,Assay: 1751796-1751775,4.51,6.2639
LE2010-06,Jasperite / Ferruginous Chert,119.45,Assay: 1751796-1751775,0.72,1.1613
LE2010-06,Jasperite / Ferruginous Chert,119.54,Assay: 1751796-1751775,0.62,0.2168
LE2010-06,Jasperite / Ferruginous Chert,119.63,Assay: 1751796-1751775,2.86,0.6714
LE2010-06,Jasperite / Ferruginous Chert,119.71,Assay: 1751796-1751775,4.26,1.516
LE2010-06,Jasperite / Ferruginous Chert,119.8,Assay: 1751796-1751775,2.81,1.2658
LE2010-06,Jasperite / Ferruginous Chert,119.89,Assay: 1751796-1751775,2.22,1.1746
LE2010-06,Jasperite / Ferruginous Chert,119.98,Assay: 1751796-1751775,1.89,1.1595
LE2010-06,Jasperite / Ferruginous Chert,120.07,Assay: 1751796-1751775,1.63,0.3099
LE2010-06,Jasperite / Ferruginous Chert,120.15,Assay: 1751796-1751775,5.26,1.6646
LE2010-06,Jasperite / Ferruginous Chert,120.24,Assay: 1751796-1751775,3.16,1.8057
LE2010-06,Jasperite / Ferruginous Chert,120.33,Assay: 1751796-1751775,1.75,1.3258
LE2010-06,Jasperite / Ferruginous Chert,120.42,Assay: 1751796-1751775,1.32,0.3385
LE2010-06,Jasperite / Ferruginous Chert,120.51,Assay: 1751796-1751775,3.9,0.7544
LE2010-06,Jasperite / Ferruginous Chert,120.6,Assay: 1751796-1751775,5.17,1.066
LE2010-06,Jasperite / Ferruginous Chert,120.68,Assay: 1751796-1751775,4.85,4.3694
LE2010-06,Jasperite / Ferruginous Chert,120.77,Assay: 1751796-1751775,1.11,0.5936
LE2010-06,Jasperite / Ferruginous Chert,120.86,Assay: 1751796-1751775,1.87,1.1688
LE2010-06,Jasperite / Ferruginous Chert,120.95,Assay: 1751796-1751775,1.6,0.7656
LE2010-06,Jasperite / Ferruginous Chert,121.04,Assay: 1751796-1751775,2.09,0.4665
LE2010-06,Jasperite / Ferruginous Chert,121.12,Assay: 1751796-1751775,4.48,0.7077
LE2010-06,Jasperite / Ferruginous Chert,121.21,Assay: 1751796-1751775,6.33,1.9477
LE2010-06,Jasperite / Ferruginous Chert,121.3,Assay: 1751796-1751775,3.25,2.3897
LE2010-06,Jasperite / Ferruginous Chert,121.39,Assay: 1751796-1751775,1.36,0.5738
LE2010-06,Jasperite / Ferruginous Chert,121.48,Assay: 1751796-1751775,2.37,0.331
LE2010-06,Jasperite / Ferruginous Chert,121.56,Assay: 1751796-1751775,7.16,2.7328
LE2010-06,Jasperite / Ferruginous Chert,121.65,Assay: 1751796-1751775,2.62,1.3862
LE2010-06,Jasperite / Ferruginous Chert,121.74,Assay: 1751796-1751775,1.89,0.931
LE2010-06,Jasperite / Ferruginous Chert,121.83,Assay: 1751796-1751775,2.03,0.6265
LE2010-06,Jasperite / Ferruginous Chert,121.92,Assay: 1751796-1751775,3.24,2.8174
LE2010-06,Jasperite / Ferruginous Chert,122.0,Assay: 1751796-1751775,1.15,0.7325
LE2010-06,Jasperite / Ferruginous Chert,122.09,Assay: 1751796-1751775,1.57,0.3271
LE2010-06,Jasperite / Ferruginous Chert,122.18,Assay: 1751796-1751775,4.8,1.5142
LE2010-06,Jasperite / Ferruginous Chert,122.27,Assay: 1751796-1751775,3.17,1.1962
LE2010-06,Jasperite / Ferruginous Chert,122.36,Assay: 1751796-1751775,2.65,0.5332
LE2010-06,Jasperite / Ferruginous Chert,122.45,Assay: 1751796-1751775,4.97,3.8828
LE2010-06,Jasperite / Ferruginous Chert,122.53,Assay: 1751796-1751775,1.28,0.6957
LE2010-06,Jasperite / Ferruginous Chert,122.62,Assay: 1751796-1751775,1.84,0.5955
LE2010-06,Jasperite / Ferruginous Chert,122.71,Assay: 1751796-1751775,3.09,1.0266
LE2010-06,Jasperite / Ferruginous Chert,122.8,Assay: 1751796-1751775,3.01,5.375
LE2010-06,Jasperite / Ferruginous Chert,122.89,Assay: 1751796-1751775,0.56,0.3314
LE2010-06,Jasperite / Ferruginous Chert,122.97,Assay: 1751796-1751775,1.69,0.7934
LE2010-06,Jasperite / Ferruginous Chert,123.06,Assay: 1751796-1751775,2.13,0.6358
LE2010-06,Jasperite / Ferruginous Chert,123.15,Assay: 1751796-1751775,3.35,1.1167
LE2010-06,Jasperite / Ferruginous Chert,123.24,Assay: 1751796-1751775,3.0,1.3043
LE2010-06,Jasperite / Ferruginous Chert,123.33,Assay: 1751796-1751775,2.3,8.8462
LE2010-06,Jasperite / Ferruginous Chert,123.41,Assay: 1751796-1751775,0.26,0.1088
LE2010-06,Jasperite / Ferruginous Chert,123.5,Assay: 1751796-1751775,2.39,0.93
LE2010-06,Jasperite / Ferruginous Chert,123.59,Assay: 1751796-1751775,2.57,0.2225
LE2010-06,Jasperite / Ferruginous Chert,123.68,Assay: 1751796-1751775,11.55,5.5529
LE2010-06,Jasperite / Ferruginous Chert,123.77,Assay: 1751796-1751775,2.08,0.6688
LE2010-06,Jasperite / Ferruginous Chert,123.85,Assay: 1751796-1751775,3.11,0.5604
LE2010-06,Jasperite / Ferruginous Chert,123.94,Assay: 1751796-1751775,5.55,1.2907
LE2010-06,Jasperite / Ferruginous Chert,124.03,Assay: 1751796-1751775,4.3,0.6605
LE2010-06,Jasperite / Ferruginous Chert,124.12,Assay: 1751796-1751775,6.51,11.4211
LE2010-06,Jasperite / Ferruginous Chert,124.21,Assay: 1751796-1751775,0.57,0.6064
LE2010-06,Jasperite / Ferruginous Chert,124.3,Assay: 1751796-1751775,0.94,0.6395
LE2010-06,Jasperite / Ferruginous Chert,124.38,Assay: 1751796-1751775,1.47,3.1957
LE2010-06,Jasperite / Ferruginous Chert,124.47,Assay: 1751796-1751775,0.46,0.1776
LE2010-06,Jasperite / Ferruginous Chert,124.56,Assay: 1751796-1751775,2.59,2.5392
LE2010-06,Jasperite / Ferruginous Chert,124.65,Assay: 1751796-1751775,1.02,0.1437
LE2010-06,Jasperite / Ferruginous Chert,124.74,Assay: 1751796-1751775,7.1,6.0169
LE2010-06,Jasperite / Ferruginous Chert,124.82,Assay: 1751796-1751775,1.18,0.6378
LE2010-06,Jasperite / Ferruginous Chert,124.91,Assay: 1751796-1751775,1.85,0.4129
LE2010-06,Jasperite / Ferruginous Chert,125.0,Assay: 1751796-1751775,4.48,
